lastname,name_w,name_m
,Wiebke/Wibke,Eric/Erik
,Christin/Kristin,Finn/Fynn
,Ilona,Udo
,Carola/Karola,Lennard/Lennart
,Kim,Leon
,Verena,Josef/Joseph
,Ines,Hendrik
,Olga,Wilfried/Willfried
,Elena,Jacob/Jakob
,Saskia,Lutz
,Patricia/Patrizia,Ali
,Annegret,Dietmar
,Michelle,Lothar
,Karen/Caren,Johann
,Evelyn/Evelin/Eveline,Henning
,Ina,Richard
,Carina/Karina,Hermann
,Rosemarie,Franz
,Alina,Nicolas/Nikolas
,Inge,Sigfried/Siegfried
,Gabriela,Mirco/Mirko
,Sibylle/Sybille,Heinrich
,Diana,Curt/Kurt
,Lidia/Lydia,John
,Sophie/Sofie,Robin
,Vera/Wera,Waldemar
,Denise,Ole
,Irene,Alfred
,Rebecca/Rebekka,Rudolf
,Birte,Mehmet
,Inga,Frederic/Frederik
,Mareike,Bastian
,Ruth,Marius
,Frauke,Sören
,Roswitha/Roswita,Guido
,Uta,Henri/Henry
,Irina,Constantin/Konstantin
,Tina,Henrik/Henrick
,Antonia,Ernst
,Waltraud/Waltraut,Roman
,Margret,Friedrich
,Lara,Anton
,Juliane,Luca/Luka
,Luisa/Louisa,Steven
,Mandy,Nicolai/Nikolai
,Linda,Gunnar
,Ingeborg,Boris
,Heidemarie,Vincent
,Victoria/Viktoria,Ulf
,Nele/Neele,Achim
,Judith,Jonathan
,Nadja,Burghard/Burghardt/Burkhard
,Sina/Sinah,Ahmed/Ahmet
,Eileen/Aileen/Ayleen/Aylin,Wolf
,Jenny,Wilhelm
,Dorothea,Adrian
,Dörte/Dörthe,Rafael/Raphael
,Veronica/Veronika,Til/Till
,Heidrun,Artur/Arthur
,Leonie,Sergej/Sergei
,Theresa/Teresa,Eckard/Eckart/Eckhard
,Pia,Mustafa
,Anita,Clemens/Klemens
,Margrit,Helge
,Friederike,Benedikt
,Sophia/Sofia,Harry
,Marita,Lasse
,Gabi/Gaby,Nick
,Susann,Sönke
,Larissa,Armin
,Vivien/Vivienne,Fred
,Jeanette,Luis/Louis
,Charlotte,Reinhold
,Natascha,Knud/Knut
,Ramona,Gerald
,Lina,Erwin
,Melina,Maurice
,Ilka,Hannes
,Ellen,Justin
,Josephine/Josefine,Vladimir
,Nikola/Nicola,Julius
,Merle,Erich
,Edith,Gregor
,Natalia,Michel
,Esther,Joshua/Joschua
,Maja/Maya,Ronny
,Margarethe/Margarete,Eugen
,Valentina,Konrad
,Regine,Hubert
,Hildegard,Willi/Willy
,Margit,Heino
,Clara/Klara,Danny
,Svetlana/Swetlana,Hauke
,Fatma,Marek
,Paula,Eduard
,Ilse,Andrej/Andrey/Andrei
,Nora,José
,Annett/Anett,Fritz
,Irmgard,Abdul
,Susan,Bodo
,Helena,Hasan
,Viola,Arno
,Gerda,Jannis
,Annemarie,Antonio
,Celina,Ahmad
,Imke,Winfried
,Marlene,Edgar
,Magdalena,Gerrit
,Carla/Karla,Enrico
,Doreen,Eberhard
,Konstanze/Constanze,Ibrahim
,Lilli/Lilly,Pierre
,Gina,Toni/Tony
,Gitta,Thilo/Tilo
,Kirstin,Otto
,Tamara,Murat
,Kira/Kyra,Wolfram
,Martha/Marta,Hüseyin
,Ayse,Bruno
,Ronja,Nikola/Nicola
,Celine/Céline,Ben
,Beatrice,Adam
,Kimberly/Kimberley,Heiner
,Melissa,Albert
,Elvira,Jean
,Agnes,Norman
,Emma,Dietrich/Diedrich
,Anneliese,Gunter/Gunther
,Dorothee,Peer
,Margot,Kim
,Mona,Ivan/Iwan
,Edeltraut/Edeltraud,Darius/Dariusz
,Gesa,Valentin
,Joanna,Leonard
,Ariane,Claas/Klaas
,Emily/Emilie,Nikolaus
,Gunda,Eike
,Jule,Ricardo/Riccardo
,Dana,Linus
,Annelie/Anneli,Andrzej
,Rosa,Dustin
,Kai/Kay,Igor
,Brigitta,Tino
,Luise/Louise,Erhard
,Alice,Tilmann/Tillman/Tillmann
,Isabella,Leif
,Hatice,Karlheinz
,Cindy,Chris
,Danuta,Carlos
,Nancy,Ismail
,Svantje/Swantje,Arnd/Arndt
,Steffi,Samuel
,Cathleen/Kathleen,Ludwig
,Gertrud,Friedhelm
,Ewa,Justus
,Carolina/Karolina,Hartwig
,Liane,Andi/Andy
,Annabelle/Annabell,Deniz
,Svea,Falk
,Emine,Hakan
,Ludmila/Ludmilla,Thore/Tore
,Monique,Miroslav/Miroslaw
,Paulina,Lorenz
,Yasemin,Leo
,Cordula/Kordula,Alex
,Linn/Lynn,Amir
,Galina,Jasper
,Marleen,Wladimir
,Ricarda,Marlon
,Angelina,Berthold/Bertold
,Pauline,Aaron
,Milena,Said
,Amelie,Julien
,Dorit,Zbigniew
,Helene,Steve
,Ursel,Cornelius/Kornelius
,Malgorzata,Rico/Riko
,Almuth,Joel
,Frederike,Vivian
,Alena,Fabio
,Henrike,Noah
,Beatrix,Stanislav/Stanislaw
,Jolanta,Georgios
,Hella,Roger
,Alicia,Ercan/Erkan
,Helen,Raimund
,Joana,Götz/Goetz
,Chantal,Juri
,Carlotta,Egon
,Karlotta,
,Stephanie,
,Almut,Tomas
,Kathrin,
,Marlen,
,,Stephan
,,Kristian
,,
,,
,,
,,
,,
,,Mathias
,,
,,
,,
,Kristina,
,,Marcus
,Kristine,Torsten
,,
,,
,,
,,Ralph
,Sara,Swen
,,
,Sylvia,
,,Reiner
,,
,,
,,
,Sylke,
,,
,Kristiane,
,,Karsten
,,
,,
,,
,,Denis
,,
,,
,,Mark
,,Karl
,,
,,Marko
,,
,,Kay
,,
,,
,,
,Jessika,
,,
,,Günther
,,
,,Lukas
,Meike,
,,
,Anette,
,,Niels
,,
,,
,,
,,
,,
,,
,Caroline,
,Yasmin,
,,
,Yvonne,
,,
,Krista,Meik
,,Mike
,,
,,
,,
,,Detlev
,,Gert
,,Reinhardt
,,
,,
,,
,,
,Siegrid,Niklas
,Hanna,
,,
,,
,Bianka,
,,
,,
,,
,,
,,Niko
,Nathalie,
,,Dominik
,Jaqueline,
,,Muhammed
,,
,,Walther
